"Location_ID","Location_Name","Well_Tag_ID","Well_Water_Level_Measuring_Point_or_TOC_ID","Well_Water_Level_Measuring_Point_or_TOC_Description","Well_Water_Level_Measuring_Point_or_TOC_Elevation","Well_Water_Level_Measuring_Point_or_TOC_Elevation_Units","Well_Water_Level_Measuring_Point_or_TOC_Datum","Well_Water_Level_Measuring_Point_or_TOC_Accuracy","Well_Water_Level_Measuring_Point_or_TOC_Collection_Method","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Well_Water_Level_Measuring_Point_or_TOC_Start_Date","Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Record_Created_On","Well_Water_Level_Measuring_Point_or_TOC_Accuracy_NAVD88_FT"
"VCSW1470-MW-7","VCSW1470-MW-7","","TOC1","Top of casing",55.14,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,55.14,7/29/2015 10:29:08 AM,1
"VCSW1470-MW-6","VCSW1470-MW-6","","TOC1","Top of casing",60.4,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,60.4,7/29/2015 10:29:07 AM,1
"VCSW0664~MW-12","SW0664~9-2553~MW-12","","TOC1","TOC=Top of casing",218.1,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",3/28/2007 12:00:00 AM,,,
"VCSW1470-MW-8","VCSW1470-MW-8","","TOC1","Top of casing",54.82,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,54.82,7/29/2015 10:29:08 AM,1
"VCSW1470-MW-19","VCSW1470-MW-19","","TOC1","Top of casing",52.91,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,52.91,7/29/2015 10:29:12 AM,1
"VCSW1470-MW-2","VCSW1470-MW-2","","TOC1","Top of casing",54.88,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,54.88,7/29/2015 10:29:06 AM,1
"VCSW1470-MW-4","VCSW1470-MW-4","","TOC1","Top of casing",52.03,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,52.03,7/29/2015 10:29:07 AM,1
"VCSW1470-MW-101","VCSW1470-MW-101","","TOC1","Top of casing",48.89,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,48.89,7/29/2015 10:29:15 AM,1
"VCSW1470-MW-12","VCSW1470-MW-12","","TOC1","Top of casing",52.39,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,52.39,7/29/2015 10:29:10 AM,1
"VCSW1470-MW-14","VCSW1470-MW-14","","TOC1","Top of casing",49.56,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,49.56,7/29/2015 10:29:10 AM,1
"VCSW1470-MW-21","VCSW1470-MW-21","","TOC1","Top of casing",49,"FT","NAVD88","+/- 1 ft (0.3 m)","Paper map interpolation",,"",,49,7/29/2015 10:29:13 AM,2
"VCSW1470-MW-3","VCSW1470-MW-3","","TOC1","Top of casing",52.54,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,52.54,7/29/2015 10:29:07 AM,1
